season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_sacks,projected_qb_hits,projected_tfl,projected_blocked_punts,projected_loss_yards,penalties_per_game,penalty_count,penalty_yards
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,ATL,home,6,00-0036285,A.Terrell,24.0,14,0.07,0.14,1.0,0.0,2.14,1.16,29,364.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,ATL,home,7,00-0034843,M.Hughes,21.0,6,0.0,0.0,1.33,0.0,2.0,1.0,3,73.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,1,00-0036305,T.Gipson,52.0,1,1.0,1.0,1.0,0.0,8.0,0.0,0,0.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,2,00-0037007,P.Jones,91.0,2,0.5,1.0,1.0,0.0,8.5,0.0,0,0.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,3,00-0040159,L.Ransom,22.0,2,0.5,0.5,1.0,0.0,10.0,1.0,2,22.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,4,00-0040136,P.Umanmielen,3.0,4,0.38,1.0,0.5,0.0,6.38,0.0,0,0.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,5,00-0036962,T.Moehrig,7.0,10,0.3,0.7,1.4,0.0,7.5,1.0,1,5.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,6,00-0036220,D.Brown,95.0,54,0.24,1.09,0.61,0.0,4.3,1.158,22,158.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,7,00-0036944,J.Horn,8.0,10,0.2,0.3,0.9,0.0,7.8,1.176,20,147.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,8,00-0036903,B.Brown,97.0,4,0.12,0.25,0.75,0.0,3.0,1.0,2,10.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,9,00-0035277,M.Jackson,2.0,6,0.0,0.0,1.17,0.0,2.5,1.167,7,147.0
2026,2,2026_02_CAR_ATL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,CAR,away,10,00-0039380,C.Smith-Wade,26.0,2,0.0,0.0,1.0,0.0,3.0,1.25,5,41.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,1,00-0040636,K.Martin,38.0,1,1.0,1.0,1.0,0.0,28.0,2.0,4,29.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,2,00-0039792,D.Walker,81.0,1,1.0,1.0,0.0,0.0,0.0,1.0,2,15.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,3,00-0036130,J.Madubuike,92.0,52,0.58,1.33,0.81,0.0,6.57,1.231,16,168.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,4,00-0038505,T.Robinson,95.0,17,0.53,1.35,0.53,0.0,7.24,1.0,2,30.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,5,00-0038504,T.Simpson,32.0,12,0.42,0.92,0.92,0.0,6.46,1.25,5,27.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,6,00-0037756,T.Jones,98.0,24,0.35,0.83,0.75,0.0,4.29,1.25,5,47.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,7,00-0030070,J.Jenkins,94.0,3,0.33,0.33,1.0,0.0,6.67,0.0,0,0.0
