season,week,game_id,home_team_x,away_team_x,home_win_prob,pred_home_margin,prediction_source,prediction_made_at,home_team_actual,away_team_actual,home_score,away_score,home_margin,actual_home_win,predicted_home_win,prob_error_sq,margin_error,abs_margin_error,sq_margin_error,log_loss_component,misclassified,home_team_y,away_team_y,weather_wind_mph,weather_wind_mph_wx,weather_temp_f,weather_temp_f_wx,weather_temp_kickoff_f,weather_temp_kickoff_f_wx,wind,temp,inj_qb_questionable_home,inj_qb_questionable_away,inj_qb_doubtful_home,inj_qb_doubtful_away,inj_qb_out_home,inj_qb_out_away,inj_qb_reserve_home,inj_qb_reserve_away,inj_practice_limited_home,inj_practice_limited_away,inj_practice_limited_rolling3_home,inj_practice_limited_rolling3_away,inj_qb_questionable_rolling3_home,inj_qb_questionable_rolling3_away,inj_qb_doubtful_rolling3_home,inj_qb_doubtful_rolling3_away,inj_qb_reserve_rolling3_home,inj_qb_reserve_rolling3_away,home_rest,away_rest,sched_rest_days_home,sched_rest_days_away,sched_back_to_back_travel_home,sched_back_to_back_travel_away,roof_is_dome,home_indoor,away_indoor,away_travel_distance_km,away_travel_distance_miles,home_travel_distance_km,timezone_diff_hours,timezone_diff_hours_abs,away_travel_east,away_travel_west,travel_km_short_rest,travel_km_back_to_back,travel_km_per_rest_day,timezone_diff_short_rest,wind_mph,temp_f,qb_uncertain,qb_uncertainty_score,short_rest,back_to_back_travel,indoor_game,outdoor_game,log_loss_per_game,high_error,rest_diff,rest_days_diff
2023,1,2023_01_PHI_NE,NE,PHI,0.6723802089691162,2.5319462,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,NE,PHI,20.0,25.0,-5.0,0.0,1,0.4520951454133524,7.5319462,7.5319462,56.73021355969444,-1.1159015166457802,True,NE,PHI,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,0,408.107624297606,253.58624261742773,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,0,0,0,1,1.1159015166457802,1,0,0
2023,1,2023_01_SF_PIT,PIT,SF,0.7359848022460938,2.2133427,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,PIT,SF,7.0,30.0,-23.0,0.0,1,0.5416736291372217,25.2133427,25.2133427,635.7126501076432,-1.3317486102431064,True,PIT,SF,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,0,3610.9435876471216,2243.7356279998794,0.0,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,0,0,1,1.3317486102431064,1,0,0
2023,1,2023_01_TB_MIN,MIN,TB,0.7260074615478516,2.5559757,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,MIN,TB,17.0,20.0,-3.0,0.0,1,0.5270868342231552,5.555975699999999,5.555975699999999,30.868865978990485,-1.294654404891328,True,MIN,TB,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,1,1,0,2116.233480181175,1314.9661138136569,0.0,-1.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0,1,0,1.294654404891328,1,0,0
2023,1,2023_01_TEN_NO,NO,TEN,0.7721685767173767,5.936556,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,NO,TEN,16.0,15.0,1.0,1.0,1,0.0519071574349858,4.936556,4.936556,24.369585141136003,-0.2585523891716818,False,NO,TEN,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,1,1,0,756.7010310249045,470.19207634897595,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0.25855238917168183,0,0,0
2023,1,2023_01_ARI_WAS,WAS,ARI,0.8014576435089111,3.9029799,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,WAS,ARI,20.0,16.0,4.0,1.0,1,0.0394190673210346,-0.0970200999999999,0.09702009999999994,0.0094128998040099,-0.2213231548555799,False,WAS,ARI,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,1,3210.661871063848,1995.0121774848144,0.0,2.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0,0,1,0,0.22132315485557996,0,0,0
2023,1,2023_01_MIA_LAC,LAC,MIA,0.7413954138755798,3.1638453,w01_predictions_history_2023.csv,2025-10-26 19:38:16.622086+00:00,LAC,MIA,34.0,36.0,-2.0,0.0,1,0.5496671597157423,5.1638453,5.1638453,26.66529828233209,-1.352455078368454,True,LAC,MIA,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,1,1,0,3753.9500976934555,2332.59572615388,0.0,-3.0,3.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0,0,1,0,1.352455078368454,1,0,0
2023,2,2023_02_NYG_ARI,ARI,NYG,0.5312927961349487,-0.7857998,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,ARI,NYG,28.0,31.0,-3.0,0.0,1,0.2822720352248922,2.2142002,2.2142002,4.90268252568004,-0.757777004286695,True,ARI,NYG,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,1,1,0,3450.3608482100963,2143.954170613156,0.0,-2.0,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,8.5,0,0,1,0,0.757777004286695,0,0,0
2023,2,2023_02_NYJ_DAL,DAL,NYJ,0.6676425933837891,5.0972557,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,DAL,NYJ,30.0,10.0,20.0,1.0,1,0.1104614457326533,-14.9027443,14.9027443,222.0917876711825,-0.4040022884750115,False,DAL,NYJ,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,6,0,0,0,0,0,2229.039273710148,1385.0603625445483,0.0,-1.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1,0,0,1,0.4040022884750115,0,1,1
2023,2,2023_02_SEA_DET,DET,SEA,0.780678927898407,3.65141,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,DET,SEA,31.0,37.0,-6.0,0.0,1,0.6094595884646061,9.65141,9.65141,93.1497149881,-1.517218540159892,True,DET,SEA,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,10,7,0,0,1,1,0,3110.8284211158993,1932.9785668572076,0.0,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,0,0,1,0,1.517218540159892,1,3,3
2023,2,2023_02_NO_CAR,CAR,NO,0.5354106426239014,-0.070274636,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,CAR,NO,17.0,20.0,-3.0,0.0,1,0.286664556234939,2.929725364,2.929725364,8.583290708464931,-0.7666013659764329,True,CAR,NO,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,8,0,0,0,0,1,1043.9477915361492,648.6788831746086,0.0,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0,0,1,0,0.7666013659764329,0,0,0
2023,2,2023_02_WAS_DEN,DEN,WAS,0.7919068336486816,3.2602842,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,DEN,WAS,33.0,35.0,-2.0,0.0,1,0.6271164331794807,5.2602842,5.2602842,27.67058986476964,-1.5697693844142964,True,DEN,WAS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,0,2413.624186746784,1499.7560745430358,0.0,-2.0,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,0,0,1,1.5697693844142964,1,0,0
2023,2,2023_02_LV_BUF,BUF,LV,0.771596372127533,5.4960165,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,BUF,LV,38.0,10.0,28.0,1.0,1,0.0521682172253044,-22.5039835,22.5039835,506.4292733682723,-0.2592936997144248,False,BUF,LV,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,7,0,1,0,0,1,3186.6227412950316,1980.074959381235,0.0,3.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,1,1,1,0,0.25929369971442484,1,-1,-1
2023,2,2023_02_BAL_CIN,CIN,BAL,0.6579311490058899,1.8110223,w02_predictions_history_2023.csv,2025-10-26 19:38:16.623087+00:00,CIN,BAL,24.0,27.0,-3.0,0.0,1,0.4328733968322105,4.8110223,4.8110223,23.145935571097294,-1.072743243485193,True,CIN,BAL,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,7,0,0,0,0,0,680.380755215459,422.76887024898497,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,0,0,0,1,1.072743243485193,1,0,0
