bet_type,bet_side,threshold,n_bets,wins,losses,pushes,hit_rate,avg_model_prob,avg_implied_prob,avg_expected_profit,avg_edge_prob,avg_odds_decimal,avg_odds_american,total_profit,roi
moneyline,away,0.0,1200,409,791,0,0.3408333333333333,0.4075014857546999,0.34119528921794057,0.2701689420528055,0.06630619653675934,3.497106309180014,225.44916666666666,-35.41556533405033,-0.029512971111708607
moneyline,away,0.02,1104,363,741,0,0.328804347826087,0.4006333896627463,0.3289603200680332,0.29281140565022346,0.07167306959471309,3.602247749946216,243.29528985507247,-35.29689528206517,-0.03197182543665324
moneyline,away,0.05,993,318,675,0,0.3202416918429003,0.39535906862910836,0.31735166244710983,0.32162047692741547,0.07800740618199853,3.7273002248725957,259.82175226586105,-25.030494966035064,-0.02520694357103229
moneyline,home,0.0,747,282,465,0,0.37751004016064255,0.4588921418256215,0.39503329849898183,0.23110336849693133,0.06385884332663966,2.9372651903387443,145.289156626506,-35.59999648990481,-0.047657291151144324
moneyline,home,0.02,673,245,428,0,0.3640416047548291,0.45116989557579507,0.3808504927064672,0.25542396900638814,0.07031940286932786,3.0332922239810625,164.88410104011888,-32.678298926849656,-0.048556164824442284
moneyline,home,0.05,573,208,365,0,0.36300174520069806,0.44209477895750326,0.36233847092509625,0.2941603834581953,0.07975630803240702,3.1784927261904095,190.2914485165794,-1.333581293017028,-0.002327367003520119
