feature,model_importance,permutation_importance,permutation_std
epa_diff,0.028853666,0.03632604735381282,0.005300503365042945
def_epa_allowed_diff,0.01487886,0.015268838976312349,0.01014262468181706
epa_per_play_diff,0.020532575,0.012125193560174807,0.005026699839953429
def_epa_per_play_allowed_diff,0.008366728,0.011739624985078568,0.008536496558417456
sched_moneyline_delta_diff,0.0029139912,0.00835537591450477,0.0048944094858451425
scoring_tottd_diff,0.032987088,0.0060899639525161305,0.0030679921088812598
sched_implied_prob_diff,0.004823321,0.004943543376464276,0.004013819500226529
ypp_diff,0.00072258804,0.004910769776729685,0.003485168907726992
plays_allowed_diff,0.0019209228,0.004758635587625726,0.0013882847087741837
passing_cmppct_diff,0.0037991828,0.004595625365098876,0.002561511171257801
plays_proxy_diff,0.004438084,0.00441728259322105,0.001451491500956143
receiving_rec_diff,0.002246024,0.004162736017934665,0.001988259182292224
inj_listed_total_rolling3_diff,0.0031594806,0.004141746637491783,0.00341824969381188
altitude_ft_diff,0.0018031081,0.003924979692296748,0.001156227997286377
inj_listed_total_pct_change_diff,0.0032426978,0.0035801536410912773,0.002737972615091173
sched_consecutive_home_rolling3_diff,0.0042006816,0.003558469269473008,0.0006530447635801138
weather_snow_index_diff,0.0022964869,0.0035558169926756867,0.0016899075502263905
inj_questionable_pct_change_diff,0.0029509626,0.003361280192374383,0.0014382334684411337
def_plays_allowed_diff,0.0026318443,0.0031064535846018647,0.0025171603917995915
inj_questionable_prev_diff,0.002289236,0.0030783247007911243,0.001291713983501086
scoring_2_pt_diff,0.0026424315,0.003048214239459934,0.0017818065586426646
passing_passyds_diff,0.0022556302,0.0030394439760511593,0.0003170504930080264
def_yards_allowed_diff,0.0023002478,0.003025751070463123,0.0009417321132759791
yards_allowed_diff,0.0028913824,0.0026963077636531275,0.001641594383110376
ypp_allowed_diff,0.0038705736,0.002666103965877342,0.0012927143680477263
inj_practice_full_diff,0.0017611404,0.0024747237008877045,0.002363274892930044
snaps_offense_snaps_pct_change_diff,0.007856202,0.0023968262874077386,0.0019365810574963685
passing_lng_diff,0.0025647609,0.002082523929966773,0.0020658212387720475
pass_plays_proxy_diff,0.0021713316,0.002073944000946937,0.0017234269668024499
downs_rush1st_diff,0.0020721692,0.0020429345328078163,0.0006829919488656313
sched_spread_close_pct_change_diff,0.002590552,0.0020333638183881453,0.001012048176080959
sched_spread_close_abs_pct_change_diff,0.0026451547,0.0019095012533708378,0.0034353237126753585
yards_per_play_diff,0.0053819926,0.001786049210279117,0.001320621626962703
passing_int_diff,0.0026102567,0.0015766559377012213,0.0015597822333407929
passing_cmp_diff,0.0037176695,0.0015429372262132813,0.0012392288533602707
roster_fantasy_data_id_diff,0.0027845956,0.0015389830203835775,0.0004421003036710895
passing_rate_diff,0.007382148,0.0013782276360063018,0.005205258169802223
downs_rec1st_diff,0.0022937024,0.0013676191025894901,0.0014087347033233792
indoor_diff,0.0017708543,0.0013629995384053962,0.00033238168971032176
passing_40+_diff,0.002013422,0.0013604359722100944,0.0008471732479689972
passing_td_diff,0.0032618567,0.001292937739908484,0.0005625750491901109
inj_questionable_diff,0.0013461887,0.0012879369482941883,0.0007688662822639017
epa_per_play_allowed_diff,0.016837388,0.0012826204486938275,0.002431513754734131
rushing_rush1st_diff,0.0022626598,0.0012299908253514459,0.0009844519378953201
sched_implied_prob_prev_diff,0.0023331528,0.001130322143541651,0.0015191740013231455
plays_diff,0.0077076354,0.0010627666068064867,0.0031671276156273447
roster_jersey_number_rolling3_diff,0.0027652949,0.0010248819441767364,0.0003610286529698962
downs_scrmplys_diff,0.0020074586,0.0009384284376572794,0.001512626659245538
weather_rain_index_diff,0.0016284741,0.000935179572814504,0.0009337081149626728
inj_out_diff,0.0012206489,0.0009166539918254335,0.0015026048519104437
sched_spread_close_abs_prev_diff,0.003004411,0.0009141833914057207,0.00154673121581094
inj_doubtful_pct_change_diff,0.0032713597,0.0008978331200583556,0.0006288998230624074
roster_rotowire_id_diff,0.0036600474,0.0008820949280092582,0.00029751118100007444
sched_spread_close_rolling3_diff,0.0031117133,0.0008763291413407037,0.0013456794763548855
sched_prev_is_away_pct_change_diff,0.0030825848,0.0008503810997075645,0.0014439678480439506
roster_entry_year_diff,0.0038134626,0.0007585459737183386,0.0001808365954092145
snaps_offense_pct_pct_change_diff,0.0063331225,0.0007556330214869344,0.0005518937972132887
inj_questionable_rolling3_diff,0.002603558,0.0007506734681174577,0.0007877641167528341
sched_long_rest_flag_delta_diff,0.0059319637,0.0007308801066271631,0.0007614034145701736
inj_out_pct_change_diff,0.0025970072,0.0007044989582431383,0.0019555808374894074
snaps_st_pct_prev_diff,0.004509371,0.0006439442994226497,0.0005330039855250418
receiving_td_diff,0.00752056,0.0006336193385281686,0.00040052061220106856
rushing_att_diff,0.0034889507,0.0006309835845390354,0.00023219519565040978
inj_practice_full_delta_diff,0.002141103,0.000613939285897791,0.000986631383521676
snaps_st_snaps_prev_diff,0.0039590937,0.0006065407709103354,0.0003224634508902009
inj_listed_total_diff,0.0016620182,0.0005972720691085787,0.000513232865025246
sched_implied_prob_rolling3_diff,0.0042832624,0.000590792171177168,0.002203882491805815
sched_prev_is_home_delta_diff,0.0015097134,0.0005759675630436112,0.00044641891698134987
pass_yards_proxy_diff,0.004256167,0.000562674783069883,0.0002893724406018712
inj_questionable_delta_diff,0.0018997331,0.0005513657626953217,0.0017937111172233236
passing_yds_per_att_diff,0.0024426442,0.0005383378532105576,0.0004195937219900625
sched_rest_days_rolling3_diff,0.0027621551,0.0005249947130854915,0.0003032591627495873
passing_att_diff,0.0035097003,0.0005151356974878674,0.0003966625516784669
rushing_rushyds_diff,0.001868288,0.0004908208033895134,0.00037634386160274744
roster_years_exp_prev_diff,0.0129129,0.000448652139146799,0.0004464857859448297
sched_consecutive_home_prev_diff,0.0034235567,0.00044643071039531803,0.0008202710309502371
sched_back_to_back_travel_rolling3_diff,0.0011082656,0.00043541577577943524,0.0002503926211558248
scoring_rectd_diff,0.0019929498,0.000409552962051607,0.0012018520670919654
snaps_st_pct_rolling3_diff,0.0022873222,0.00040200493899194,0.00037397173492491597
roster_jersey_number_diff,0.0030366427,0.0004009498059428074,0.0001731531782279581
inj_qb_questionable_rolling3_diff,0.003973644,0.00038349064101288465,0.0006470770570443419
rushing_20+_diff,0.0022643823,0.00035665003970097864,0.001568924880419509
snaps_st_snaps_delta_diff,0.0031629745,0.0003553089135696519,0.0004601904098060226
