feature,model_importance,permutation_importance,permutation_std
def_epa_per_play_allowed_diff,0.0069050007,0.021454545454545414,0.002412090756622081
weather_snow_index_diff,0.004355111,0.019999999999999973,0.005012381364396429
epa_diff,0.017880244,0.017090909090909066,0.005466653228499248
yards_diff,0.026244415,0.01599999999999997,0.004796693075735594
plays_diff,0.010523461,0.013454545454545408,0.008339887229948901
def_epa_allowed_diff,0.0096043805,0.013454545454545408,0.005818181818181816
epa_per_play_diff,0.01378173,0.011272727272727257,0.006744449814905972
snaps_defense_snaps_pct_change_diff,0.007872555,0.009454545454545405,0.003332782323604269
inj_listed_total_diff,0.0052979332,0.009454545454545405,0.002672170628490757
snaps_st_snaps_pct_change_diff,0.008920563,0.008727272727272672,0.002672170628490757
altitude_ft_diff,0.004457988,0.008363636363636328,0.004685126809718227
rushing_lng_diff,0.0044103838,0.008363636363636306,0.0021818181818181958
downs_3rdatt_diff,0.0045887427,0.007999999999999941,0.0027212053721992475
roster_years_exp_rolling3_diff,0.0073504867,0.007636363636363575,0.001360602686099624
passing_1stpct_diff,0.004036121,0.007636363636363575,0.0031281182789246118
receiving_lng_diff,0.0047956104,0.006545454545454477,0.0008907235428302523
scoring_rshtd_diff,0.004436576,0.00618181818181811,0.0014545454545454638
inj_practice_limited_pct_change_diff,0.0038123115,0.00618181818181811,0.0021818181818181958
pass_plays_proxy_diff,0.0042192456,0.005454545454545401,0.0022998382983042552
passing_rate_diff,0.0053039803,0.005090909090909057,0.006019252857180667
scoring_rectd_diff,0.0046731867,0.005090909090909057,0.004512608598542117
inj_questionable_pct_change_diff,0.004625822,0.005090909090909057,0.00493260362409109
rush_plays_proxy_diff,0.0053281276,0.005090909090909035,0.0024120907566220944
inj_practice_full_diff,0.004516974,0.005090909090909035,0.003882573909829553
rush_yards_proxy_diff,0.0032994072,0.005090909090909035,0.0017814470856604638
def_plays_allowed_diff,0.0057106847,0.004727272727272691,0.005466653228499236
inj_questionable_prev_diff,0.004552808,0.004727272727272691,0.0037438655058134335
passing_yds_per_att_diff,0.0040645795,0.004727272727272691,0.0033722249074529544
inj_listed_total_prev_diff,0.0045196605,0.0047272727272726685,0.0031701083225750227
inj_listed_total_delta_diff,0.0040907506,0.0047272727272726685,0.0029541957835039693
inj_questionable_diff,0.0037721985,0.0047272727272726685,0.0018541889140337169
inj_out_pct_change_diff,0.0043622437,0.004363636363636325,0.0037438655058134374
plays_allowed_diff,0.004581187,0.003999999999999981,0.0035255853508482093
inj_doubtful_rolling3_diff,0.004377887,0.003999999999999959,0.002120346143580077
inj_out_diff,0.003935388,0.003999999999999959,0.0026721706284907054
passing_att_diff,0.0042316746,0.003999999999999937,0.0017814470856604774
def_yards_allowed_diff,0.0037557695,0.003999999999999937,0.0013606026860995882
inj_listed_total_pct_change_diff,0.004260222,0.0036363636363636155,0.006192504133064133
epa_allowed_diff,0.010985502,0.003636363636363593,0.001991718390927849
receiving_20+_diff,0.0046940967,0.003636363636363571,0.001991718390927849
rushing_att_diff,0.0034273604,0.003636363636363571,0.0011499191491521103
snaps_defense_pct_rolling3_diff,0.0061032046,0.0032727272727272492,0.003525585350848212
inj_listed_total_rolling3_diff,0.0041294782,0.0032727272727272492,0.0017814470856604503
passing_cmp_diff,0.002264233,0.003272727272727205,0.0017814470856604638
ypp_diff,0.005507125,0.0029090909090908833,0.005586287816631702
receiving_yds_per_rec_diff,0.004475148,0.002909090909090861,0.0037438655058134335
rushing_rush1stpct_diff,0.003723026,0.002909090909090861,0.001854188914033704
passing_20+_diff,0.0040958165,0.0025454545454545174,0.001854188914033704
inj_questionable_delta_diff,0.003230761,0.0025454545454544953,0.003916483496097797
snaps_st_snaps_prev_diff,0.005116743,0.0021818181818181515,0.0013606026860995765
passing_cmppct_diff,0.0049093547,0.0021818181818181515,0.0024120907566220805
plays_proxy_diff,0.0048655556,0.0021818181818181515,0.0046568176272238715
snaps_offense_snaps_delta_diff,0.0036524718,0.0021818181818181515,0.0013606026860995765
receiving_40+_diff,0.00346901,0.0021818181818181294,0.0026721706284907054
rushing_rushyds_diff,0.00278199,0.0018181818181818299,0.0
snaps_st_snaps_delta_diff,0.00848418,0.0018181818181818078,0.001991718390927849
snaps_offense_snaps_prev_diff,0.00824799,0.0018181818181818078,0.001991718390927849
indoor_diff,0.0044543277,0.0018181818181818078,0.0011499191491521103
downs_3rdmd_diff,0.004237165,0.0018181818181818078,0.001991718390927849
receiving_yds_diff,0.0066694757,0.0018181818181817854,0.0016262312563634443
inj_practice_full_prev_diff,0.004863301,0.0018181818181817854,0.0025712973861328698
inj_out_delta_diff,0.0046867905,0.0018181818181817854,0.002299838298304238
inj_questionable_rolling3_diff,0.00431939,0.0018181818181817854,0.004146092454905944
inj_out_prev_diff,0.0040998384,0.0018181818181817854,0.004599676596608529
inj_practice_full_delta_diff,0.004177346,0.0018181818181817633,0.0043026034786178835
snaps_offense_pct_delta_diff,0.0013182297,0.001454545454545464,0.0007272727272727319
inj_practice_limited_prev_diff,0.0052398574,0.0014545454545454195,0.002672170628490706
weather_rain_index_diff,0.0042007584,0.0014545454545454195,0.004049283172967271
roster_total_players_diff,0.008093713,0.0010909090909090758,0.0014545454545454252
roster_espn_id_rolling3_diff,0.0057242294,0.0010909090909090758,0.0014545454545454252
passing_40+_diff,0.004869005,0.0010909090909090758,0.002954195783503972
def_ypp_allowed_diff,0.0041108443,0.0010909090909090758,0.004393834899488923
ypp_allowed_diff,0.0038701862,0.0010909090909090758,0.004081808058298827
downs_rec1st_diff,0.0038504128,0.0010909090909090758,0.003562894171320971
downs_rush1st_diff,0.0031790172,0.0010909090909090758,0.0014545454545454252
passing_sck_diff,0.0054100137,0.0010909090909090313,0.006361038430740317
roster_rotowire_id_rolling3_diff,0.010087975,0.000727272727272732,0.0008907235428302523
roster_sleeper_id_diff,0.008831829,0.000727272727272732,0.0008907235428302523
snaps_offense_pct_diff,0.007184193,0.000727272727272732,0.0014545454545454638
roster_status_ir_count_diff,0.006713937,0.000727272727272732,0.0008907235428302523
snaps_offense_pct_rolling3_diff,0.006000339,0.000727272727272732,0.0008907235428302523
snaps_offense_snaps_rolling3_diff,0.0056412565,0.000727272727272732,0.0008907235428302523
snaps_defense_snaps_rolling3_diff,0.005200576,0.000727272727272732,0.0014545454545454638
receiving_td_diff,0.0045554093,0.000727272727272732,0.0008907235428302523
roster_height_rolling3_diff,0.0034865711,0.000727272727272732,0.0008907235428302523
roster_entry_year_diff,0.0032817202,0.000727272727272732,0.0008907235428302523
inj_doubtful_prev_diff,0.0030313705,0.000727272727272732,0.0008907235428302523
roster_height_prev_diff,0.0009933813,0.000727272727272732,0.0008907235428302523
snaps_defense_snaps_diff,0.006151893,0.0007272727272727098,0.002466301812045542
snaps_st_snaps_diff,0.005936824,0.0007272727272727098,0.0014545454545454195
rushing_td_diff,0.004834874,0.0007272727272727098,0.0014545454545454195
receiving_rec_diff,0.0040572556,0.0007272727272727098,0.0021818181818181663
snaps_defense_snaps_delta_diff,0.003100021,0.0007272727272727098,0.001854188914033717
downs_4thmd_diff,0.0051945797,0.0007272727272726875,0.0027212053721992003
inj_practice_limited_diff,0.004497171,0.0007272727272726875,0.0037438655058134335
roster_status_pra_ir_count_diff,0.014266883,0.000363636363636366,0.000727272727272732
roster_pff_id_rolling3_diff,0.008381668,0.000363636363636366,0.0007272727272727319
snaps_st_pct_pct_change_diff,0.007697799,0.000363636363636366,0.0017814470856605045
roster_status_pup_count_diff,0.0073596383,0.000363636363636366,0.0007272727272727319
roster_weight_prev_diff,0.007282338,0.000363636363636366,0.0007272727272727319
roster_rookie_year_diff,0.006150335,0.000363636363636366,0.0007272727272727319
roster_gsis_it_id_prev_diff,0.0058574933,0.000363636363636366,0.0007272727272727319
passing_1st_diff,0.0050755497,0.000363636363636366,0.0013606026860996238
roster_yahoo_id_rolling3_diff,0.005034164,0.000363636363636366,0.000727272727272732
roster_years_exp_prev_diff,0.004835816,0.000363636363636366,0.0007272727272727319
roster_jersey_number_prev_diff,0.0041762204,0.000363636363636366,0.0007272727272727319
roster_pff_id_prev_diff,0.003921706,0.000363636363636366,0.0007272727272727319
roster_gsis_it_id_diff,0.0037742837,0.000363636363636366,0.0007272727272727319
def_pass_yards_allowed_diff,0.0018722321,0.000363636363636366,0.000727272727272732
yards_per_play_diff,0.0068372292,0.0003636363636363438,0.0021203461435800887
passing_scky_diff,0.0063061267,0.0003636363636363438,0.0035255853508482297
roster_draft_number_diff,0.013395747,0.0,0.0
roster_entry_year_rolling3_diff,0.013092309,0.0,0.0
roster_fantasy_data_id_diff,0.012297627,0.0,0.0
roster_gsis_it_id_rolling3_diff,0.012107343,0.0,0.0011499191491521454
roster_years_exp_diff,0.010584577,0.0,0.0011499191491521454
epa_per_play_allowed_diff,0.009429561,0.0,0.001626231256363494
roster_espn_id_diff,0.008464787,0.0,0.0
roster_pff_id_diff,0.00845758,0.0,0.0011499191491521454
roster_height_pct_change_diff,0.008137738,0.0,0.0
def_rush_plays_allowed_diff,0.007757358,0.0,0.0
receiving_rec1st_diff,0.0065555237,0.0,0.0011499191491521454
snaps_defense_snaps_prev_diff,0.006118001,0.0,0.0
roster_jersey_number_diff,0.00581469,0.0,0.0
roster_years_exp_pct_change_diff,0.0056499257,0.0,0.0
def_rush_ypc_allowed_diff,0.0056372285,0.0,0.0
snaps_st_pct_prev_diff,0.005552275,0.0,0.0
roster_fantasy_data_id_rolling3_diff,0.005366506,0.0,0.0
roster_weight_diff,0.004987531,0.0,0.0
roster_draft_number_rolling3_diff,0.004479048,0.0,0.0
roster_injured_count_diff,0.0033231603,0.0,0.0
roster_active_pct_diff,0.0032936572,0.0,0.0
roster_weight_pct_change_diff,0.0017896077,0.0,0.0
snaps_defense_pct_delta_diff,0.0014895267,0.0,0.0
def_rush_yards_allowed_diff,0.0014183269,0.0,0.0
roster_rotowire_id_diff,0.0014160925,0.0,0.0
roster_practice_count_diff,0.0011532381,0.0,0.0
roster_weight_rolling3_diff,0.0010375365,0.0,0.0
roster_entry_year_delta_diff,0.00077007525,0.0,0.0
roster_active_count_diff,0.0004752792,0.0,0.0
roster_status_sus_count_diff,0.0002817499,0.0,0.0
roster_sleeper_id_rolling3_diff,0.00019730117,0.0,0.0
news_count7_diff,0.0,0.0,0.0
news_count3_diff,0.0,0.0,0.0
