n_games,accuracy,auc,brier,log_loss,mae,rmse,slice,coverage_pct
742,0.6805929919137467,0.7577023691094654,0.21525257904920736,0.6216803818310089,10.056474238930553,12.998288892718355,back_to_back_travel,0.2874854707477722
73,0.684931506849315,0.7782805429864253,0.21742581604078953,0.6265765234806172,10.021830017123287,12.975767559290246,extreme_temp,0.02828361100348702
188,0.675531914893617,0.7163917163917164,0.21830191359952786,0.6276876348454521,11.057495098085107,13.671939759374677,high_wind,0.07283998450213096
1421,0.673469387755102,0.7483909446827492,0.21944066768354856,0.6306065388689489,9.997892338596742,13.050728949473957,indoor,0.550561797752809
454,0.6409691629955947,0.7177570093457943,0.2264573289799845,0.6452504130571483,10.444097260911894,13.426518107946427,long_travel_distance,0.17590081363812476
557,0.651705565529623,0.7221633497027657,0.22509800509726544,0.6424446904939095,10.339249233482944,13.282493312223275,long_travel_timezone,0.21580782642386673
1839,0.677542142468733,0.7407336585645686,0.21876732082178266,0.6291018099352214,10.316628613130833,13.29145423716322,not_back_to_back_travel,0.7125145292522278
2508,0.6782296650717703,0.7445664936617402,0.21776651996602575,0.6269796593203331,10.248241751827779,13.214533792357027,not_extreme_temp,0.971716388996513
2393,0.6786460509820309,0.7480438814134862,0.21771406472589175,0.626911741094248,10.177757971748463,13.170686264318098,not_high_wind,0.9271600154978691
1160,0.6844827586206896,0.7429119402803613,0.21569424816159283,0.6225113621178484,10.540671458351811,13.397790305714805,not_indoor,0.449438202247191
2127,0.686412787964269,0.7513043104097419,0.2158998069059037,0.6230660010632512,10.198666548368628,13.16069337014402,not_long_travel_distance,0.8240991863618753
2024,0.6857707509881423,0.7518140940236011,0.21573662441037222,0.6227091794389193,10.215030672818218,13.187221348795243,not_long_travel_timezone,0.7841921735761332
1421,0.673469387755102,0.7483909446827492,0.21944066768354856,0.6306065388689489,9.997892338596742,13.050728949473957,not_outdoor,0.550561797752809
136,0.7132352941176471,0.7845880524095047,0.21426184304207507,0.619239415940684,8.931006991132351,12.112157307523137,not_qb_uncertainty,0.0526927547462224
2034,0.671583087512291,0.7380108538611396,0.218943915787902,0.6293224939944336,10.193162617707852,13.186030767526505,not_short_rest,0.7880666408368849
1160,0.6844827586206896,0.7429119402803613,0.21569424816159283,0.6225113621178484,10.540671458351811,13.397790305714805,outdoor,0.449438202247191
2445,0.6764826175869121,0.744158284319826,0.21795129079429362,0.6273981640987925,10.314751310445837,13.2661293125666,qb_uncertainty,0.9473072452537776
547,0.7038391224862889,0.7730021893814996,0.21334294686138486,0.618214111526147,10.422835722881718,13.288622550271734,short_rest,0.21193335916311506
