season,week,game_id,home_team_x,away_team_x,home_win_prob,pred_home_margin,prediction_source,prediction_made_at,home_team_actual,away_team_actual,home_score,away_score,home_margin,actual_home_win,predicted_home_win,prob_error_sq,margin_error,abs_margin_error,sq_margin_error,log_loss_component,misclassified,home_team_y,away_team_y,weather_wind_mph,weather_temp_f,weather_temp_kickoff_f,wind,temp,inj_qb_questionable_home,inj_qb_questionable_away,inj_qb_doubtful_home,inj_qb_doubtful_away,inj_qb_out_home,inj_qb_out_away,inj_qb_reserve_home,inj_qb_reserve_away,inj_practice_limited_home,inj_practice_limited_away,inj_practice_limited_rolling3_home,inj_practice_limited_rolling3_away,inj_qb_questionable_rolling3_home,inj_qb_questionable_rolling3_away,inj_qb_doubtful_rolling3_home,inj_qb_doubtful_rolling3_away,inj_qb_reserve_rolling3_home,inj_qb_reserve_rolling3_away,home_rest,away_rest,sched_rest_days_home,sched_rest_days_away,sched_back_to_back_travel_home,sched_back_to_back_travel_away,roof_is_dome,home_indoor,away_indoor,away_travel_distance_km,away_travel_distance_miles,home_travel_distance_km,timezone_diff_hours,timezone_diff_hours_abs,away_travel_east,away_travel_west,travel_km_short_rest,travel_km_back_to_back,travel_km_per_rest_day,timezone_diff_short_rest,weather_wind_mph_wx,weather_temp_f_wx,weather_temp_kickoff_f_wx,wind_mph,temp_f,qb_uncertain,qb_uncertainty_score,short_rest,back_to_back_travel,indoor_game,outdoor_game,log_loss_per_game,weather_temp_deviation,wind_temp_interaction,weather_temp_delta,wind_mph_delta,qb_uncertainty_recent,qb_uncertainty_trend,rest_diff,rest_days_diff,travel_timezone_product,travel_short_rest_flag,travel_rest_pressure,model_confidence_abs,model_uncertainty,model_logit_abs,pred_margin_abs,pred_margin_confidence,model_margin_disagreement,high_error,stable_label,volatility_prob,volatility_label,volatility_threshold
2016,1,2016_01_NYG_DAL,DAL,NYG,0.6984027296304702,-0.1976085022091865,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,DAL,NYG,19.0,20.0,-1.0,0.0,1,0.4877663727552917,0.8023914977908135,0.8023914977908135,0.6438321157269852,-1.1986626933881988,True,DAL,NYG,0.0,70.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,1,0,0,2229.039273710148,1385.0603625445483,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,70.0,1.0,3.0,0.0,0.0,1.0,0.0,1.1986626933881988,10.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2229.039273710148,0.0,0.0,0.19840272963047023,0.6031945407390595,0.8397033273294152,0.1976085022091865,0.014113955718628108,0.18428877391184212,0,1,0.25176926054974835,0,0.316745
2016,1,2016_01_NE_ARI,ARI,NE,0.2894669085741043,-0.7772321462631226,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,ARI,NE,21.0,23.0,-2.0,0.0,0,0.0837910911594488,1.2227678537368774,1.2227678537368774,1.4951612241322896,-0.3417397576866345,False,ARI,NE,0.0,70.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,1,1,0,3687.4920668820732,2291.300633090581,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,70.0,1.0,10.0,0.0,0.0,1.0,0.0,0.34173975768663456,10.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,7374.9841337641465,0.0,0.0,0.2105330914258957,0.5789338171482086,0.8979745362593261,0.7772321462631226,0.0554596163874463,0.15507347503844943,0,1,0.1096048292638172,0,0.316745
2016,1,2016_01_MIN_TEN,TEN,MIN,0.2725,-3.682418203353882,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,TEN,MIN,16.0,25.0,-9.0,0.0,0,0.07425625,5.317581796646119,5.3175817966461185,28.276676164022163,-0.3181412799364894,False,TEN,MIN,8.0,74.0,,5.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,1,1121.3534759248744,696.7765306889152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,74.0,1.0,3.0,0.0,0.0,1.0,0.0,0.31814127993648944,14.0,112.0,0.0,3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.22749999999999998,0.545,0.9819753849423488,3.682418203353882,0.25712728347231095,0.029627283472310972,0,1,0.08398718056911895,0,0.316745
2016,1,2016_01_PIT_WAS,WAS,PIT,0.2725,-5.613405084609986,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,WAS,PIT,16.0,38.0,-22.0,0.0,0,0.07425625,16.386594915390013,16.386594915390013,268.52049292108586,-0.3181412799364894,False,WAS,PIT,9.0,73.0,,4.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,0,319.3781485066335,198.45231951571537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31814127993648944,13.0,117.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22749999999999998,0.545,0.9819753849423488,5.613405084609986,0.3807679433655903,0.1532679433655903,1,0,0.34972342317784555,1,0.316745
2016,1,2016_01_LA_SF,SF,LA,0.7275,6.36826982498169,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,SF,LA,28.0,0.0,28.0,1.0,1,0.0742562499999999,-21.631730175018312,21.631730175018312,467.9317503647978,-0.3181412799364894,False,SF,LA,12.0,64.0,,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,64.0,1.0,6.0,0.0,0.0,1.0,0.0,0.31814127993648944,4.0,48.0,0.0,-5.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.22750000000000004,0.5449999999999999,0.981975384942349,6.36826982498169,0.42589916380089193,0.1983991638008919,1,0,0.5829304029304029,1,0.316745
2016,1,2016_01_GB_JAX,JAX,GB,0.434065018594265,-0.5464787274599076,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,JAX,GB,23.0,27.0,-4.0,0.0,0,0.1884124403672396,3.453521272540093,3.4535212725400926,11.92680917988694,-0.5692760812189167,False,JAX,GB,8.0,81.0,,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,0,1674.0754663507696,1040.2219466018441,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,81.0,1.0,4.0,0.0,0.0,0.0,1.0,0.5692760812189167,21.0,168.0,0.0,5.0,0.0,-4.0,0.0,0.0,1674.0754663507696,0.0,0.0,0.065934981405735,0.86813003718853,0.26528486245439487,0.5464787274599076,0.03901438183790746,0.026920599567827545,1,0,0.4409746015729058,1,0.316745
2016,1,2016_01_CLE_PHI,PHI,CLE,0.7275,4.810414505004883,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,PHI,CLE,29.0,10.0,19.0,1.0,1,0.0742562499999999,-14.189585494995118,14.189585494995118,201.34433651977585,-0.3181412799364894,False,PHI,CLE,9.0,73.0,,14.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,0,578.6583004032051,359.56148677984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.31814127993648944,13.0,117.0,0.0,-5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.22750000000000004,0.5449999999999999,0.981975384942349,4.810414505004883,0.33068845002984487,0.10318845002984484,1,0,0.3076711561917261,0,0.316745
2016,1,2016_01_CIN_NYJ,NYJ,CIN,0.5603355884552002,-0.0534108869731426,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,NYJ,CIN,22.0,23.0,-1.0,0.0,1,0.3139759716894354,0.9465891130268574,0.9465891130268574,0.8960309489009727,-0.8217435441087857,True,NYJ,CIN,10.0,71.0,,17.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,0,909.6873162743019,565.2533174006793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,71.0,1.0,4.0,0.0,0.0,0.0,1.0,0.8217435441087857,11.0,110.0,0.0,-7.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.06033558845520015,0.8793288230895997,0.2425241344667897,0.0534108869731426,0.0038150448462873354,0.056520543608912815,0,1,0.4511786832055589,1,0.316745
2016,1,2016_01_CHI_HOU,HOU,CHI,0.7275,3.390495848655701,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,HOU,CHI,23.0,14.0,9.0,1.0,1,0.0742562499999999,-5.609504151344299,5.609504151344299,31.466536823948925,-0.3181412799364894,False,HOU,CHI,0.0,70.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,1,1,0,1524.1168911483526,947.042036769743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,70.0,1.0,9.0,0.0,0.0,1.0,0.0,0.31814127993648944,10.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.22750000000000004,0.5449999999999999,0.981975384942349,3.390495848655701,0.23755216299242604,0.010052162992426006,0,1,0.01536255858836504,0,0.316745
2016,1,2016_01_CAR_DEN,DEN,CAR,0.6367791682481766,0.097078151255846,w01_predictions_history_2016.csv,2026-09-19 18:14:17.273207+00:00,DEN,CAR,21.0,20.0,1.0,1.0,1,0.1319293726184864,-0.902921848744154,0.902921848744154,0.8152678649395609,-0.4513323581651661,False,DEN,CAR,10.0,67.0,,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0,0,0,2183.5717217082383,1356.8081442895698,0.0,-2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,10.0,67.0,1.0,4.0,0.0,0.0,0.0,1.0,0.4513323581651661,7.0,70.0,0.0,0.0,0.0,-4.0,0.0,0.0,4367.143443416477,0.0,0.0,0.1367791682481766,0.7264416635036468,0.5614119195897453,0.097078151255846,0.006934042526151568,0.12984512572202503,0,1,0.35979297061857124,1,0.316745
