feature,importance
temp_f,2.3621104364213728
qb_uncertain,2.0830533010851524
outdoor_game,1.3172189266117496
indoor_game,1.3172189266117462
short_rest,0.9109758975606256
wind_temp_interaction,0.5671954566986321
travel_timezone_product,0.49850849935145786
sched_back_to_back_travel_away,0.44344344174724654
back_to_back_travel,0.44344344174724654
timezone_diff_hours,0.4233388007029849
wind_mph,0.41184386720080096
away_travel_distance_km,0.39391947512741254
away_travel_distance_miles,0.39391947512739367
travel_rest_pressure,0.37230637231075164
away_travel_east,0.26427976658650787
weather_temp_deviation,0.23320540530193784
rest_days_diff,0.21288430263495095
home_rest,0.19848897462798146
away_rest,0.152239454472441
qb_uncertainty_score,0.14411967047549995
qb_uncertainty_trend,0.13964519873981524
sched_rest_days_home,0.13235422218383433
sched_rest_days_away,0.11791304592189694
away_travel_west,0.10548226808478664
timezone_diff_hours_abs,0.054942631892566644
rest_diff,0.04531896131227012
qb_uncertainty_recent,0.04101449259101262
wind_mph_delta,0.005454254429840126
weather_temp_delta,0.0
sched_back_to_back_travel_home,0.0
travel_km_short_rest,0.0
timezone_diff_short_rest,0.0
travel_km_per_rest_day,0.0
travel_km_back_to_back,0.0
travel_short_rest_flag,0.0
