feature,importance
wind_mph,0.2770834990603709
timezone_diff_hours,0.24661717405072273
away_travel_east,0.20607068500925937
timezone_diff_hours_abs,0.1942739918602238
temp_f,0.18281499113389163
qb_uncertain,0.16366398686041242
qb_uncertainty_score,0.11960800010262038
away_travel_distance_km,0.09576303474369088
away_travel_distance_miles,0.09576303474369073
away_travel_west,0.09481031146646415
short_rest,0.06696981761451551
away_rest,0.051742414400892216
sched_rest_days_away,0.051742414400892216
back_to_back_travel,0.04201472556044293
sched_back_to_back_travel_away,0.04201472556044293
rest_diff,0.025063133368415456
rest_days_diff,0.025063133368415456
home_rest,0.021760834654851985
sched_rest_days_home,0.021760834654851985
outdoor_game,0.002479118623188383
indoor_game,0.002479118623188383
sched_back_to_back_travel_home,0.0
travel_km_back_to_back,0.0
travel_km_short_rest,0.0
timezone_diff_short_rest,0.0
travel_km_per_rest_day,0.0
