scope,season,edge_bin,min_edge,max_edge,n_bets,home_bets,away_bets,wins,losses,pushes,hit_rate,avg_abs_edge_points,avg_signed_edge_points,avg_odds_decimal,avg_odds_american,total_profit,roi
overall,all,0-1,0.0,1.0,488,239,249,246,234,8,0.5125,0.5228453809837601,-0.03128967919562638,1.9358187872059542,-75.68237704918033,-3.586482976772988,-0.00734935036223973
overall,all,1-2,1.0,2.0,554,248,306,270,271,13,0.49907578558225507,1.505214072325027,-0.18610247716811928,1.9356205322763431,-79.10108303249098,-17.980156486440425,-0.03245515611270835
overall,all,2-3,2.0,3.0,512,202,310,253,245,14,0.5080321285140562,2.4702019150781096,-0.5305949811842718,1.9313872879555718,-80.791015625,-9.411417048316139,-0.01838167392249246
overall,all,3-5,3.0,5.0,450,154,296,236,202,12,0.5388127853881278,3.8358319583844285,-1.251097572996251,1.9258949295360384,-86.12,15.78741475676322,0.035083143903918264
overall,all,5-7,5.0,7.0,150,44,106,73,74,3,0.4965986394557823,5.793407599983884,-2.338255042884553,1.9098996734953373,-103.58,-8.096566829002619,-0.053977112193350794
overall,all,7-10,7.0,10.0,76,20,56,39,34,3,0.5342465753424658,8.244134104184484,-3.752638582611497,1.9196256326326193,-95.9342105263158,1.5134103030503065,0.019913293461188242
overall,all,10+,10.0,,21,7,14,5,16,0,0.23809523809523808,11.64477371199673,-3.9539602464377026,1.937945073434914,-78.38095238095238,-11.240867601856039,-0.5352794096121923
season,2018,0-1,0.0,1.0,64,30,34,42,22,0,0.65625,0.5190015455581187,-0.021701765930422594,1.9461190380207483,-62.390625,17.9988047182175,0.28123132372214843
season,2018,1-2,1.0,2.0,67,33,34,30,34,3,0.46875,1.4183124414983852,-0.07892312440479336,1.9393128802195458,-85.98507462686567,-5.745057801853141,-0.0857471313709424
season,2018,2-3,2.0,3.0,54,16,38,25,26,3,0.49019607843137253,2.469969108422347,-0.9759897812359426,1.945469193341259,-61.7962962962963,-2.3987732218481086,-0.04442172633052053
season,2018,3-5,3.0,5.0,37,18,19,18,17,2,0.5142857142857142,3.791275571765412,-0.11826833589711404,1.9318686103191198,-70.08108108108108,0.06828035519388287,0.0018454150052400775
season,2018,5-7,5.0,7.0,22,10,12,9,12,1,0.42857142857142855,5.686950978109863,-0.4058010185740679,1.914024216523751,-91.86363636363636,-3.888988891781999,-0.17677222235372722
season,2018,7-10,7.0,10.0,18,3,15,9,9,0,0.5,8.163324815797163,-5.368958290300779,1.897132753346226,-111.94444444444444,-1.0125106122619854,-0.056250589570110296
