feature,model_importance,permutation_importance,permutation_std
plays_diff,0.005709702,0.013818181818181818,0.007144320983414015
def_epa_per_play_allowed_diff,0.004502042,0.013090909090909087,0.00703239258393227
def_plays_allowed_diff,0.0042399396,0.010545454545454547,0.004209395237378237
yards_diff,0.023061957,0.010545454545454525,0.00352558535084823
inj_out_pct_change_diff,0.003106339,0.010545454545454525,0.0024120907566220944
epa_per_play_diff,0.008160237,0.009454545454545427,0.0029090909090908833
weather_snow_index_diff,0.003256094,0.009454545454545427,0.0024120907566220874
plays_allowed_diff,0.005125055,0.009090909090909084,0.003042400096487527
epa_diff,0.010141117,0.008727272727272717,0.0021203461435800736
sched_moneyline_pct_change_diff,0.002996837,0.008363636363636328,0.002466301812045525
def_epa_allowed_diff,0.0055667222,0.007999999999999985,0.005466653228499224
downs_scrmplys_diff,0.0028072356,0.006909090909090909,0.0029090909090908807
sched_spread_close_abs_rolling3_diff,0.0026990564,0.006909090909090909,0.003128118278924568
yards_allowed_diff,0.0025769915,0.006909090909090909,0.002120346143580077
sched_implied_prob_rolling3_diff,0.0038883379,0.006545454545454588,0.0008907235428302523
plays_proxy_diff,0.0034620105,0.0065454545454545435,0.0042406922871602
inj_practice_full_pct_change_diff,0.002717804,0.0061818181818182,0.005930729611018214
downs_3rdmd_diff,0.002350913,0.006181818181818177,0.0033722249074529544
passing_20+_diff,0.0037228442,0.0058181818181818334,0.0031281182789245883
passing_cmppct_diff,0.0029401514,0.0058181818181818334,0.0035255853508482297
passing_scky_diff,0.0035891375,0.005818181818181811,0.0026721706284907024
scoring_2_pt_diff,0.0028775008,0.00545454545454549,0.00199171839092789
inj_qb_questionable_rolling3_diff,0.0024147336,0.00545454545454549,0.0011499191491521454
sched_spread_close_abs_pct_change_diff,0.0036896553,0.005454545454545467,0.003252462512726963
inj_questionable_pct_change_diff,0.0024766014,0.005454545454545467,0.0032524625127269505
receiving_yds_per_rec_diff,0.002409499,0.005454545454545467,0.0030424000964875404
sched_moneyline_delta_diff,0.003541556,0.005090909090909102,0.0035255853508482367
rushing_rushfum_diff,0.0029834681,0.005090909090909102,0.0031281182789245836
inj_listed_total_rolling3_diff,0.0032775511,0.005090909090909079,0.0037083778280674554
passing_rate_diff,0.0034714174,0.004727272727272758,0.002466301812045568
sched_spread_close_abs_delta_diff,0.0027988069,0.004727272727272758,0.0021818181818181958
inj_listed_total_delta_diff,0.0026710427,0.004727272727272758,0.0018541889140337518
passing_sck_diff,0.00430843,0.0043636363636363916,0.0008907235428302523
ypp_allowed_diff,0.0031455276,0.0043636363636363916,0.001854188914033752
rushing_20+_diff,0.0028720081,0.0043636363636363916,0.0018541889140337518
rushing_rush1st_diff,0.0028333138,0.0043636363636363916,0.001454545454545464
inj_practice_limited_rolling3_diff,0.0022593776,0.0043636363636363916,0.0021818181818181958
sched_consecutive_home_prev_diff,0.0020825788,0.0043636363636363916,0.0027212053721992475
sched_prev_is_home_delta_diff,0.0020268757,0.0043636363636363916,0.001454545454545464
rushing_40+_diff,0.0032201118,0.00436363636363637,0.004240692287160211
passing_int_diff,0.0030549369,0.004000000000000026,0.001360602686099624
sched_prev_is_home_rolling3_diff,0.002844817,0.004000000000000026,0.0024120907566221243
inj_listed_total_diff,0.0026105365,0.004000000000000026,0.0024120907566221243
inj_practice_full_delta_diff,0.0022541191,0.004000000000000026,0.0017814470856605045
inj_practice_limited_pct_change_diff,0.0034242407,0.0040000000000000036,0.005193766129849342
inj_out_prev_diff,0.0028725013,0.0040000000000000036,0.0031281182789245753
sched_spread_close_rolling3_diff,0.004308006,0.0036363636363636598,0.002299838298304291
inj_practice_full_diff,0.0040429872,0.0036363636363636598,0.0011499191491521454
inj_doubtful_diff,0.0032149546,0.0036363636363636598,0.0030424000964875673
rushing_lng_diff,0.0030497212,0.0036363636363636598,0.002299838298304291
def_yards_allowed_diff,0.002959164,0.0036363636363636598,0.0011499191491521454
sched_spread_close_abs_prev_diff,0.0026452048,0.0036363636363636598,0.001626231256363494
epa_allowed_diff,0.0052970396,0.003272727272727294,0.002120346143580123
